,low,medium,high
MedInc,0.06694823999878977,0.2654323089478811,0.6676194510533291
HouseAge,0.36711171411684845,0.3018752938480722,0.33101299203507933
AveRooms,0.23237976243918845,0.32292552862769697,0.44469470893311447
AveBedrms,0.35520952261058425,0.327576952664465,0.31721352472495085
Population,0.207344954170519,0.5506910597651858,0.24196398606429506
